Token,Lema,POS,Freq,Declinação,Definição
victores,victor,NOUN,11,3,"In gen., a conqueror, vanquisher, victor."
demisso,demitto,VERB,11,-,"V. a., to send down; to drop; to let, sink, or bring down; to cause to hang or fall down; to lower, put down, let fall (freq. and class.)."
incendit,incendo,VERB,11,-,"Perf. subj. incensit = incenderit, sicut incepsit = inceperit, Paul. ex Fest. p.  Müll.), v. a. in-candeo; cf.: accendo and succendo, to set fire to, to kindle, burn (freq. and class.; syn. inflammare)."
reverti,reverio,VERB,11,-,Def. não encontrada
contentione,contentio,NOUN,11,3,"An eager stretching, a straining, exertion of the powers of body or mind, tension, effort, a vigorous struggling or striving for something, a struggle after (very freq. and in good prose)."
discessu,discessus,NOUN,11,-,"discessus, a, um, Part., from discedo."
equitesque,equitesqui,NOUN,11,-,Def. não encontrada
remanere,remaneo,VERB,11,-,To stay or remain behind (freq. and class.: cf. commoror).
deinde,deinde,ADV,11,-,"Exin, proin—in both forms ei is monosyl. in the class. poets; as dissyl.,Prud. Cath. , ; id. Ditt. , ),  de-inde, thereafter, thereupon (for syn. cf.: dein, exinde, inde, deinceps, post, postea, porro)."
necesse,necesse,ADJ,11,-,Form necesse.
propius,propius,ADJ,11,-,"prŏpĭus, , v. propior, I."
fabius,fabius,PROPN,11,-,"The name of a Roman gens, concerning which see Liv. , -; among its distinguished members were"
tribuisset,tribuo,VERB,11,-,"To assign, impart, allot, bestow, give, etc. (syn.: do, dono, largior)."
nactus,naceo,VERB,11,-,Def. não encontrada
interclusis,intercludo,VERB,11,-,"To shut out, shut off."
expositis,expono,VERB,11,-,"Perf. exposivit, Plaut. Cas. , , ; sync. expostus,Verg. A. , ; Stat. Th. , ), v. a., to put or set out, to set forth, expose (class.; most freq. in the trop. signif.; cf.: expedio, explano, explico)."
honore,honor,NOUN,11,-,In partic.
adferebantur,adfero,VERB,11,-,Def. não encontrada
commius,commus,NOUN,11,-,Def. não encontrada
dextro,dexter,ADJ,11,-,Trop. (perh. not in ante-Aug. prose).
turmas,turma,NOUN,11,1,"A troop, squadron of horse."
crebris,crebrus,ADJ,11,-,Def. não encontrada
nondum,nondum,ADV,11,-,"Adv., not yet: nondum sex menses,Plaut. Pers. , , : nondum centum et decem anni sunt, cum, etc.,Cic. Off. , , : nondum Voconiā lege latā,id. Rep. , , ; id. Div. , , : nondum Ilium et arces Pergameae steterant,Verg. A. ,  al.: si nondum,Cic. Sest. , ."
indutiomarus,indutiomarus,NOUN,11,2,"A chief of the Treviri, Caes. B. G. , ."
ascensu,ascensus,NOUN,11,-,"ascensus (ads-), a, um, Part. of ascendo."
longitudinem,longitudo,NOUN,11,3,Length.
suaque,sua,VERB,11,-,Def. não encontrada
legio,legium,NOUN,11,-,Def. não encontrada
angustum,angustus,ADJ,11,-,"Narrow, strait, esp. of local relations, close, contracted, small, not spacious (syn.: artus, brevis, contractus; opp. latus,Cic. Ac. , , )."
renuntiatum,renuntio,VERB,11,-,"To bring or carry back word, to report, give notice, declare, announce."
futurum,futurus,ADJ,11,-,"fŭtūrus, a, um, Part., v. sum."
cogitandum,cogito,VERB,11,-,"To pursue something in the mind (cf. agito, II.), i. e."
praeficit,praeficio,VERB,11,-,"To set over any thing (as officer, superintendent, leader, etc.), to place in authority over, place at the head, appoint to the command of."
servare,servo,VERB,11,-,"Fut. perf. servasso, Plaut. Most. , , : servassis, an old formula in Cato, R. R. , : servassit,Plaut. Cist. , , : servassint,id. As. , , ; id. Cas. , , ; id. Ps. , , ; id. Stich. , , ; id. Trin. , , ),  cf. salus."
interim,interim,SCONJ,11,-,"I.q. interea, meanwhile, in the meantime: ibo intro: tu hic ante aedes interim speculare,Plaut. Mil. , , : interim dum ante ostium sto,Ter. Eun. , , : hoc interim spatio conclave illud concidisse,Cic. de Or. , : quo fugit interim dolor ille?Quint. , , ; , , ."
credunt,credo,VERB,11,-,"Crēdĭtum, i, n., a loan, Sall. C. , ; Liv. , , ; , , ; , , ; Sen. Ben. , , ; Quint. , , ; , , ; Dig. , ,  sq. et saep."
repentini,repentinus,ADJ,10,-,"rĕpentīnus, a, um, repens"
desertis,desero,VERB,10,-,"Perf., sĭtum, , v. a., to sow, plant: desitis seminibus,Varr. R. R. , , ."
is,is,NOUN,10,-,"He, she, it; this or that man, woman, thing."
interiectis,interio,VERB,10,-,Def. não encontrada
saepe,saepe,ADV,10,-,"saepe, old acc. n. of saepis."
paludibus,palus,NOUN,10,2,"Neutr. collat. form , , Varr. ap. Non. , ) [for paglus (cf. dim. paxillus); root pag-; Sanscr. pācas, snare; Gr. πήγνυμι, fasten; Lat. pango; cf.: pignus, pax], a stake, prop, stay, pale."
vehementer,vehementer,ADV,10,-,"vĕhĕmenter (vēmenter),  vehemens."
imperiti,imperio,VERB,10,-,Def. não encontrada
recusare,recuso,VERB,10,-,"Gen. plur. of the part. pres. recusantūm, Verg. A. , ),  causa."
tardaret,tardo,VERB,10,-,"Neutr., to tarry, loiter, linger, delay (very rare; syn.: cunctor, moror): tu mitte mihi quaeso obviam litteras, numquid putes rei publicae nomine tardandum esse nobis,Cic. Att. , , : fuci tardantes,Plin. , , , § : mors non tardat,Vulg. Ecclus. , ; id. Exod. , ; id. Heb. , ."
gravioris,gravus,ADJ,10,-,Def. não encontrada
exitu,exitus,NOUN,10,-,"exĭtus, a, um, Part., from exeo, II."
sumi,sumo,VERB,10,-,"Inf. perf. sumpse, Naev. ap. Gell. , ,  (Com. Rel. v.  Rib.; suremit for sumpsit, surempsit for sumpserit,Paul. Diac. , ; Fest. , ),  contr. for subimo, from sub-emo, to take, take up, lay hold of, assume (syn. capio)."
firmo,firmus,ADJ,10,-,"Firm (in opp. to frail, destructible), steadfast, stable, strong, powerful (freq. and class.; esp. in the trop. sense; syn.: constans, stabilis, solidus)."
universi,universus,ADJ,10,-,"All together, all taken collectively, whole, entire, collective, general, universal (opp. singuli)."
maneant,maneo,VERB,10,-,"Perf. mansti for mansisti, Lucil. ap. Gell. , ), ,  and a. [root man, to think; whence the notion of hesitating leads to that of waiting; cf. Gr. μένω, μένος, μιμνήσκω, μάντις; and Lat. memini, moneo, mens, etc.]."
telum,telus,NOUN,10,-,Def. não encontrada
pulsis,pulto,VERB,10,-,"pulto, āre, collat. form of pulso, from pello"
ire,eo,VERB,10,-,In partic.
neu,neu,SCONJ,10,-,"neu, , v. neve."
ligeri,liger,NOUN,10,3,"A river forming the boundary between Gallia Lugdunensis and Aquitania, now the Loire: quod Liger ex nivibus creverat,Caes. B. G. , , ; Tib. , , : cum ad flumen Ligerim venissent,Caes. B. G. , , : Caesar Ligere interclusus,id. ib. , : in flumine Ligeri,id. ib. , .—Hence"
inimicus,inimicus,ADJ,10,-,"Gen. plur.: ĭnĭmī-cūm, Plaut. As. , , ), adj.. in-amicus, unfriendly, hostile, inimical."
nobilissimos,nobilis,ADJ,10,-,"That can be known or is known, knowable, known."
primo,primo,ADV,10,-,Fin. A.
victoriae,victorias,ADJ,10,-,Def. não encontrada
pagos,pagus,NOUN,10,2,Transf.
missis,missa,ADJ,10,1,"The mass (eccl. Lat.), Ambros. Ep. , ."
pecore,pecus,NOUN,10,3,"Cattle, as a collective, a herd (opp.: pecus, pecudis, a single head of cattle)."
plus,plus,ADV,10,-,"plūs, plūris, v. multus, II."
circum,circum,ADP,10,-,"Around, about, all around, περί, ἀμφί"
minuendam,minuo,VERB,10,-,"Act., to make smaller, to lessen, diminish; lit. and trop."
diligenter,diligenter,ADV,10,-,"Adv., attentively, carefully, diligently, earnestly; v. diligo, P. a. fin."
diviciaci,diviciacus,NOUN,10,-,Def. não encontrada
arvernorum,arvernus,ADJ,10,-,Def. não encontrada
gladiis,gladius,NOUN,10,2,"A sword (syn. the poet. ensis, acc. to Quint. , , ; cf. also: spatha, acinaces, sica, pugio)."
tali,talis,DET,10,-,"Such, of such a kind, nature, or quality, such like; with a corresp. qualis, atque, ut, qui, or absol."
dumnorigem,dumnorigus,NOUN,10,-,Def. não encontrada
mercatores,mercator,NOUN,10,3,"A trader, merchant, esp. a wholesale dealer (opp. to caupo, a retailer; class.)."
consuevit,consuevo,VERB,10,-,Def. não encontrada
fortissime,fortus,ADV,10,-,Def. não encontrada
morinos,morinus,NOUN,10,-,Def. não encontrada
merito,meritum,NOUN,10,2,Fin. B. .
quarta,quartus,ADJ,10,-,Subst.
comperit,compero,VERB,10,-,Def. não encontrada
suspicionem,suspicio,NOUN,10,-,"To look up or upwards, to look up at a thing."
insidiis,insidium,NOUN,10,-,Def. não encontrada
profectionem,profectio,NOUN,10,3,"Transf., of things, the source whence any thing is obtained: profectio ipsius pecuniae requiratur,Cic. Clu. , ."
vocat,voco,VERB,10,-,"Inf. vocarier, Plaut. Capt. , , ), ,  and n. Sanscr. vak-, to say; Gr. root ϝεπ:, in ἔπος, word; εἶπον, said, to call; to call upon, summon, invoke; to call together, convoke, etc. (cf.: appello, compello)."
lateribus,later,NOUN,10,3,"A brick, tile."
receperant,recipero,VERB,10,-,"To get or obtain again; to regain, recover, etc. (good prose; cf.: reparo, redimo)."
septimo,septimus,ADJ,10,-,Num. ord. adj. [septem].
trebonium,trebonium,NOUN,10,-,Def. não encontrada
paludem,palum,NOUN,10,-,"pālum, i, v. . palus"
praeerat,praeero,VERB,10,-,Def. não encontrada
deesset,desum,VERB,10,-,In gen.
lacessere,lacedo,VERB,10,-,Def. não encontrada
vento,ventus,NOUN,10,2,"Wind (syn.: aura, flamen)."
silentio,silentio,NOUN,10,-,Def. não encontrada
sublevare,sublevo,VERB,10,-,"To lift up from beneath, to raise up, hold up, support (class.: esp. freq. in the trop. sense; syn.: extollo, erigo)."
perficere,perficio,VERB,10,-,"To achieve, execute, carry out, accomplish, perform, despatch, bring to an end or conclusion, finish, complete (class.; syn.: absolvo, conficio, exsequor)."
concursu,concursus,NOUN,10,-,"In partic., absol., an uproar, tumult: quem concursum in oppido factum putatis? quem clamorem?Cic. Verr. , , , § ; cf. id. Sull. , : quive coetu, concursu, turbā, seditione incendium fecerit,Paul. Sent. , , ; Dig. , ,  pr."
principibus,principis,NOUN,10,-,Def. não encontrada
iusserat,iussero,VERB,10,-,Def. não encontrada
coniecti,coniicio,VERB,10,-,Def. não encontrada
tot,tot,DET,10,-,"Num. adj. indecl., so many."
nolebat,nolo,VERB,10,-,"Nevolt for non vult,id. Trin. , , ; id. Most. , , ; Titin. ap. Non. , ; v. Don. ad Ter. Eun. , , : noltis for non vultis, Lucil. ap. Diom. p.  P.; gerund. abl. nolendo, Tert. adv. Marc. , ), v. irreg. [ne-volo], to wish, or will ... not; not to wish, to be unwilling."
iudicium,iudicium,NOUN,9,-,Def. não encontrada
latitudinem,latitudo,NOUN,9,3,"Breadth, width of any thing (class.)."
caede,caedus,NOUN,9,-,Def. não encontrada
quanta,quantus,DET,9,-,How great.
iumentorum,iumentum,NOUN,9,-,Def. não encontrada
incipiunt,incipio,VERB,9,-,"To begin to do something, to take in hand (syn. incoho; in class. prose, viz. in Cic., only in the tempp. press., while coepi is used in the tempp. perff.); constr. usually with the inf., less freq. absol., with the acc., ab, or adv. of place or time."
litaviccus,litaviccus,NOUN,9,-,Def. não encontrada
avaricum,avaricus,NOUN,9,-,Def. não encontrada
adire,adiriscor,VERB,9,-,Def. não encontrada
addit,addo,VERB,9,-,"To put, place, lay, etc., a person or thing to another."
uxores,uxor,NOUN,9,3,"V. the letter X), f.etym. dub.; cf. Sanscr. vaca, wife, a wife, spouse, consort (syn. conjux)."
fabium,fabius,NOUN,9,-,"The name of a Roman gens, concerning which see Liv. , -; among its distinguished members were"
biturigum,biturigus,NOUN,9,-,Def. não encontrada
nemo,nemo,PRON,9,-,"In fem.: vicinam neminem amo magis quam te,Plaut. Casin. , , ; Ter. And. , , ."
portas,portas,NOUN,9,-,Def. não encontrada
antea,antea,ADV,9,-,"Rarely for ante followed by deinde, mox, etc.: clipeis antea Romani usi sunt, deinde scuta pro clipeis fecere, formerly, at an earlier period ... then, in process of time, etc., Liv. , : Poneropolis antea, mox Philippopolis, nunc Trimontium dicta,Plin. , , , § ."
subire,subeo,VERB,9,-,Neutr.
decima,decimus,ADJ,9,-,The tenth.
desistunt,desisto,VERB,9,-,"Perf. destitĕrunt, Lucr. , ),  and n. (for syn. v. desino init.)."
bituriges,biturigo,NOUN,9,-,Def. não encontrada
sabinus,sabinus,NOUN,9,-,Def. não encontrada
alieno,alienus,ADJ,9,-,Subst.
pedites,pedes,NOUN,9,3,One that is or goes on foot.
simulatione,simulatio,NOUN,9,3,"A falsely assumed appearance, a false show, feigning, shamming, pretence, feint, insincerity, deceit, hypocrisy, simulation, etc. (class. and very freq.; cf. imitatio)."
insidias,insidia,NOUN,9,-,Def. não encontrada
vagarentur,vago,VERB,9,-,"văgo, āre,"
oppidanos,oppidanus,NOUN,9,-,"oppĭdānus, a, um, id."
gentibus,gens,NOUN,9,3,"A race or clan, embracing several families united together by a common name and by certain religious rites; orig. only patrician, but, after the granting of the connubium between patricians and plebeians, also plebeian (syn.: familia, stirps, genus; natio, populus)."
carnutum,careo,VERB,9,-,"To be without, devoid of, not to have, to be free from (corresp. with abesse, Cic. Rosc. Am. , ; and opp. frui,id. Tusc. , , )."
ultro,ultro,ADV,9,-,"To the farther side, beyond, on the other side."
palude,palux,NOUN,9,-,Def. não encontrada
iustam,iustus,ADJ,9,-,Def. não encontrada
barbarorum,barbarum,NOUN,9,2,"v. barbarus, I. A."
egressi,egridio,VERB,9,-,Def. não encontrada
materia,materia,NOUN,9,1,"Esp., matter of suppuration, pus, Cels. , , ."
conscripserat,conscribo,VERB,9,-,"V. a.; lit., to write together, i. e."
antecedunt,antecedo,VERB,9,-,"To gobefore, precede (in space), to take the lead, get the start; with dat., acc., or absol."
huius,hic,ADJ,9,-,"Hoc with verbs impers., pleonast. as a subject (ante-class.): eamus, Amphitruo: lucescit hoc jam,there is daybreak,Plaut. Am. , , : luciscit hoc jam,   Ter. Heaut. , , : lucet hoc,Plaut. Mil. , , ; cf. id. Curc. , , ."
hieme,hies,NOUN,9,-,Def. não encontrada
praefectus,praefectus,NOUN,9,-,"Done beforehand (postclass.), Cael. Aur. Acut. , , ; id. Tard. , , ; , , ."
consulibus,consulus,NOUN,9,-,Def. não encontrada
scribit,scribo,VERB,9,-,In gen.
permitteret,permitto,VERB,9,-,"To let go through, suffer to pass through."
haedui,haedus,NOUN,9,2,"A young goat, a kid (cf.: hircus, caper)."
invenit,invenio,VERB,9,-,"Fut. invenibit for inveniet, Pompon. ap. Non. p. , ), lit., to come or light upon a thing; to find, meet with (cf.: reperio, offendo)."
profectum,profectus,NOUN,9,-,"prōfectus, a, um, Part., from proficio"
obsidesque,obsidesqus,NOUN,9,-,Def. não encontrada
delecta,delectus,ADJ,9,-,"dēlectus, a, um, Part., from . deligo."
direptis,dirigo,VERB,9,-,"In gen., to set in order, arrange (very rare): materias divisione dirigere,Quint. , , .—Far more freq. (esp. in Cic. and Quint.)"
influit,influo,VERB,9,-,To flow or run into.
consensu,consensus,NOUN,9,-,"consensus, a, um, Part., from consentio"
nocturnis,nocturnus,ADJ,9,-,"Subst.: Nocturnus, i, m., the god of Night, Plaut. Am. , , ."
aliter,aliter,ADV,9,-,"ălĭtĕr, v. . alius,  D."
deorum,deus,NOUN,9,2,"Prop., Cic. N. D. ,  sq.; id. Tusc. , ,  sq.; Plin. , , , § : qualem te patriae custodem di genuerunt, etc., Enn. ap. Cic. Rep. ,  (Ann. v.  sq. ed Vahl.): ab Jove ceterisque dis deabusque immortalibus ... deorum immortalium numen, Cic. Rab. perd. ,  et innum. al."
ascendere,ascendo,VERB,9,-,"To ascend, mount up, climb; and in eccl. Lat. simply to go up, to rise, to spring up, grow up (syn.: scando, conscendo, orior, surgo, prodeo)."
arvernos,arvernus,NOUN,9,-,Def. não encontrada
differunt,differo,VERB,9,-,"Inf. differrier, Lucr. , . In tmesi: disque tulissent,Plaut. Trin. , , ),  and n."
patere,pateo,VERB,9,-,"To stand open, lie open, be open."
intercedere,intercedo,VERB,9,-,"To go or come between, to intervene, to be between (syn. intervenio)."
statim,statim,ADV,9,-,"Rarely for recenter, modo, recently, newly, just: ventriculus vervecis statim occisi,Pall. , , ."
peditum,pedeo,VERB,9,-,Def. não encontrada
finitimi,finio,VERB,9,-,"To limit, bound, enclose within boundaries (class.)."
interdixisset,interdico,VERB,8,-,"To speak between, i. e. to interpose by speaking."
progressus,progressus,NOUN,8,-,"P.a., from progredior."
plebem,plebs,NOUN,8,-,"Plebibus,Aug. Ep. ), f.root ple-, fill; whence Gr. πίμπλημι, πλήρης; cf. πλῆ θος, multitude."
delegerant,delego,VERB,8,-,In gen.
obtulit,offero,VERB,8,-,"To bring before; to present, offer; to show, exhibit (class.; cf. obicio, ostendo)."
dierum,dies,DET,8,-,"In gen., the civil day of twenty-four hours."
equestri,equester,ADJ,8,-,"Belonging to a horseman, equestrian."
latos,latus,ADJ,8,-,"Broad, wide."
conservaturum,conservo,VERB,8,-,"Inf. perf. conservasse more usu. than conservavisse, acc. to Quint. , , ), v. a., to retain, keep something in existence, to hold up, maintain, to preserve, leave unhurt or safe (class.; esp. freq. in prose)."
silvestribus,silvestris,ADJ,8,-,"Gen. plur. sync. silvestrum, Att. Trag. Rel. v.  Rib.),  silva."
enuntiata,enuntio,VERB,8,-,"To say out (esp. something that should be kept secret), to divulge, disclose, to report, tell."
potius,pote,ADV,8,-,"pŏte, , v. potis, I."
suessionum,suessio,NOUN,8,-,Def. não encontrada
exire,exeo,VERB,8,-,"Perf. exit, for exiit, id. Ps. , , ; Verg. A. , ), ĭtum, īre (fut.   exibo, but exies, exiet, Sen. Ep. , ; id. Apocol. ,  al.; exiet for exibit,Tert. adv. Jud. ; Vulg. Matt. , ; ,  al.; perh. also in Hor. C. , , ; acc. to some MSS. al. evenit; v. Orell. ad h. l.),  and a."
victoriam,victorius,ADJ,8,-,Def. não encontrada
cotta,cotta,NOUN,8,1,v. Aurelius.
suspicatus,suspicor,VERB,8,-,"Inf. suspicarier, Plaut. Ps. , , ; id. Trin. , , ), , v. dep. a. [. suspicio, II.], to mistrust, suspect (class.)."
adficiebantur,adficio,VERB,8,-,Def. não encontrada
nobilitate,nobilitas,NOUN,8,3,"Celebrity, fame, renown (very rare): eam nobilitatem amittundam video,Plaut. Mil. , , : praedicationem nobilitatemque despicere,Cic. Arch. , : repentina,Liv. , ; cf.: aliquem nobilitate praecurrere,Nep. Thras. , ."
sicut,sicut,SCONJ,8,-,"So as, just as, as."
necessitate,necessitas,NOUN,8,3,"Gen. plur. -ātium, Caes. B. G. , , ), f. necesse, unavoidableness, inevitableness, necessity, compulsion, force, exigency."
redegisset,redigo,VERB,8,-,"To drive, lead, or bring back (syn. reduco)."
menapios,menapius,NOUN,8,-,Def. não encontrada
lapides,lapis,NOUN,8,3,In partic.
coniurationem,coniuratio,NOUN,8,-,Def. não encontrada
scientia,scientia,NOUN,8,1,"A knowing or being skilled in any thing, knowledge, science, skill, expertness, = cognitio, eruditio (freq. and class.)."
cupidius,cupidus,ADJ,8,-,"Longing, desiring, desirous, eager, in a good and bad sense, wishing, loving, fond, etc. (very freq. and class.); constr. with gen., abl., inf., in, or absol."
iniquitatem,iniquitas,NOUN,8,3,"Gen. plur. iniquitatium, Tert. Spect. ), f. iniquus, unequalness."
metu,metus,NOUN,8,-,"Fem.: nulla in me est metus, Enn. ap. Paul. ex Fest. p.  Müll.: metus ulla, id. ap. Non. , ; cf. Ann. v. , and Trag. v.  Vahl.; dat. metu, Tac. A. , ; , ), fear, dread, apprehension, anxiety; constr. with gen. object., with ne, with acc. and inf."
locuti,loquor,VERB,8,-,"Inf. loquier, Naev. ap. Gell. , , ), v. dep. n. and a. [Sanscr. lap-, to talk, whisper; Gr. λακ-, ἔλακον, λάσκω], to speak, talk, say (in the lang. of common life, in the tone of conversation; cf. Quint. , , ; , , )."
abdiderunt,abdo,VERB,8,-,"Transf., to hide, conceal, keep secret, etc. (syn.: occulto, recondo); constr. aliquid, without or with in and abl., with other prepositions, with abl. only, or dat., with a localadv."
imperi,imper,NOUN,8,-,Def. não encontrada
inopinantes,inopino,VERB,8,-,Def. não encontrada
navi,nav,NOUN,8,-,Def. não encontrada
seu,siue,CCONJ,8,-,Def. não encontrada
postquam,postquam,SCONJ,8,-,"postquam (posquam, Att. ap. Non. , , acc. to Rib. Trag. Rel. v. ; id. Verg. A. , ; cf. Munro ad Lucr. , ; Rib. Prol. ad Verg. p. ; also separately, post quam)"
commode,commode,ADV,8,-,"commŏdē, adv., v. . commodus, adv. B. ."
monet,moneo,VERB,8,-,"Inf. pres. pass. monerier, Plaut. Capt. , , ; perf. subj. moneris pro monueris, Pac. ap. Non. ,  sq.; cf. Trag. Rel. p.  Rib.; likewise: di monerint meliora, Pac. ap. Non. l. l. p.  Rib.),  causative from the root men; whence memini, q. v., mens, mentio; lit. to cause to think."
commentario,commentaris,ADJ,8,-,Def. não encontrada
calones,calon,NOUN,8,-,Def. não encontrada
lingonum,lingo,NOUN,8,-,"lingo, nxi (Prisc. ), nctum, ,  Sanscr. lih, rih, to lick; Gr. λιχ-, λείχω, λιχανός; cf. ligurio"
huc,hux,NOUN,8,-,Def. não encontrada
bene,bene,ADV,8,-,"E of the foll. syllable; cf. Corss. Ausspr. , ], well (comp. melius, better; sup. optime [v. bonus init.], best; often to be rendered by more specific Engl. adverbs)."
occasionem,occasio,NOUN,8,3,"An occasion, opportunity, fit time, convenient season, favorable moment for doing any thing; εὐκαιρία, καιρός (syn.: opportunitas, locus, facultas)."
sabini,sabinus,PROPN,8,-,Def. não encontrada
incommodum,incommodus,ADJ,8,-,"Inconvenient, unsuitable, unfit, unseasonable, troublesome, disagreeable."
ambiorix,ambiorix,NOUN,8,3,"Chief of the Eburones in Gallia Belgica, Caes. B. G. ,  sq., ,  sq.; Flor. , ."
perrumpere,perrumpo,VERB,8,-,"A., to break through."
potentiae,potentia,NOUN,8,1,"Might, force, power."
precibus,precus,NOUN,8,-,Def. não encontrada
lucterius,lucterus,ADJ,8,-,Def. não encontrada
moveri,moveo,VERB,8,-,"Sync., mōstis for movistis, Mart. , , ; mōrunt for moverunt,Sil. , ), v. a. and n. Sanscr. mīv, set in motion; Gr. ἀμείβω, change; cf.: momentum, mutare."
commutatione,commutatio,NOUN,8,3,"A changing, change, alteration (in good prose)."
deponere,depono,VERB,8,-,In partic.
senones,seno,NOUN,8,-,"Sēno, ōnis, v. Senones."
semper,semper,ADV,8,-,"Ever, always, at all times, forever (cf. usque)."
flamma,flamma,NOUN,8,1,"Gen. sing. flammaï, Lucr. , ; ; , ), f. for flagma, v. flagro; cf. Gr. φλέγμα, from φλέγω, a blazing fire, a blaze, flame (cf. ignis)."
incommodi,incommodus,NOUN,8,-,"Inconvenient, unsuitable, unfit, unseasonable, troublesome, disagreeable."
gravius,gravius,ADV,8,-,Def. não encontrada
titum,titus,NOUN,8,2,"A Roman praenomen, abbreviated T."
parcat,parco,VERB,8,-,Of things (rare but class.).
despectus,despicio,VERB,8,-,"Inf. perf. despexe, Plaut. Mil. , , ), v. n. and a."
animadvertit,animadvo,VERB,8,-,Def. não encontrada
magnopere,magnopere,ADV,8,-,"Ellendt,Cic. de Or. , , ; Osann,Cic. Rep. , , ), magnus-opus, with great labor; hence, in gen., very much, greatly, exceedingly, particularly, earnestly."
ciceronem,cicero,NOUN,8,-,A Roman cognomen in the gens Tullia.
adventum,adventum,NOUN,8,-,Def. não encontrada
dispersi,dispero,VERB,8,-,Def. não encontrada
oppidani,oppidans,ADJ,8,-,Def. não encontrada
recenti,recens,ADJ,8,-,"rĕcens, entis ("
bonis,bonum,NOUN,8,2,"v. bonus, I. . and II. A. ."
transportati,transporto,VERB,8,-,"To carry over or across, to carry or convey from one place to another; to remove, transport."
vires,viris,NOUN,8,-,In partic.
commodissimum,commodus,ADJ,8,-,That has a due or proper measure; hence
censent,censeo,VERB,8,-,"To tax, assess, rate, estimate."
mentes,mens,NOUN,8,3,In partic.
volusenus,volusenus,ADJ,8,2,"C. Volusenus Quadratus,a tribune of the soldiers,Caes. B. G. , ; , ."
sequanis,sequanis,NOUN,8,-,Def. não encontrada
pacata,paco,VERB,8,-,"To make or come to an agreement, to agree together respecting any thing: NI CVM EO PACIT TALIO ESTO, Lex XII. Tab.; cf. Dirks, Uebers. p.  sq."
amplissima,amplus,ADJ,8,-,"Trop., fully, handsomely."
maritimae,maritimus,ADJ,8,-,"Of or belonging to the sea, sea-,  maritime (class.)."
aulercos,aulercus,NOUN,8,-,Def. não encontrada
vallem,vallis,NOUN,8,-,"vallis, is, v. valles."
rogatum,rogo,VERB,8,-,In partic. (class. in all per.).
contingant,contingo,VERB,8,-,"To touch on all sides. to touch, take hold of, seize (very freq. in all periods and species of composition)."
deletis,deleo,VERB,8,-,"dēlĕo, lēvi, lētum,  ("
circum,circus,NOUN,8,-,"circus, i, m., = κίρκος [kindr. with κρίκος; Dor. κίρκος, and κορώνη; cf.: κυλινδέω, κυλλός, cirrus, curvus]."
disciplina,disciplina,NOUN,8,-,"Discipulina,Plaut. Most. , ,  Lorenz; id. As. , ,  Fleck.; cf. Ussing ad loc.), ae. f. discipulus, instruction, tuition, teaching in the widest sense of the word (for syn. cf.: ars, litterae, doctrina, scientia, cognitio, humanitas—very freq. and good prose)."
difficile,difficilis,ADJ,8,-,"Hard, difficult, troublesome (very freq. and class.)."
senatum,senatum,NOUN,8,-,Def. não encontrada
nunc,nunc,ADV,8,-,"Now, at present, at this time (prop of that which is present to the speaker or writer)."
occulto,occultus,VERB,8,-,"occultus, a, um, Part. and , from occulo."
caedes,caes,NOUN,7,-,Def. não encontrada
spectat,specto,VERB,7,-,"To look at, behold; to gaze at, watch, observe, etc. (freq. and class.; syn.: adspicio, speculor, conspicor, contueor)."
proeli,proelus,NOUN,7,-,Def. não encontrada
occasum,occasus,NOUN,7,-,"occāsus, a, um, Part., from occĭdo."
concitaverunt,concito,VERB,7,-,"To move violently, to put in violent or quick motion, to stir up, rouse up, excite, incite, shake."
colloqui,colloquor,VERB,7,-,"To talk together, converse, to hold a conversation, a parley, or a conference (in good prose); constr. commonly cum aliquo, inter se, or absol.; in Plaut. several times as verb act. with acc."
cohortium,cohortium,NOUN,7,-,Def. não encontrada
integra,integer,ADJ,7,-,"Untouched, unhurt, unchanged."
frumentumque,frumentumque,NOUN,7,-,Def. não encontrada
quietem,quies,NOUN,7,3,"Rest, quiet."
priusquam,priusquam,SCONJ,7,-,Def. não encontrada
onera,onus,NOUN,7,3,"A load, burden (cf. pondus)."
lucius,lucius,PROPN,7,2,"The slave of a Lucius, Plin. , , , § ."
duplici,duplex,ADJ,7,-,"Duplice,Hor. S. , , ), duo-plico, twofold, double."
significare,significo,VERB,7,-,"Dep. collat. form signĭfĭcor, acc. to Gell. , , , without an example), v. a. signum-facio."
dissensione,dissensio,NOUN,7,3,"Of inanimate things, disagreement, incompatibility: utilium cum honestis,Cic. Off. , , : actionum,Sen. Ep. , ."
venetos,venetus,ADJ,7,-,Def. não encontrada
incensis,incensus,ADJ,7,-,"incensus, a, um, Part., from incendo."
septentriones,septentrio,NOUN,7,-,"septentrĭo, ōnis, v. septentriones."
latus,latus,NOUN,7,-,"Broad, wide."
aestatis,aestas,NOUN,7,3,"A year, Vell. , ; : quae duabus aestatibus gesta,Tac. A. , ; so. te jam septuma portat omnibus errantem terris aestas,Verg. A. , ."
tormentis,tormens,NOUN,7,-,Def. não encontrada
frustra,frustra,ADV,7,-,"Transf., according as particular respect is had to the effect, the aim, or the reason of an action, without effect, to no purpose, without cause, uselessly, in vain, for nothing (freq. and class.; the predom. signif. in prose and poetry; cf.: in cassum, nequiquam)."
suebis,sueba,NOUN,7,-,Def. não encontrada
